abandon/’bndn/ vt.丢弃;放弃，抛弃
arouse/’rauz/ vt.引起，唤起;唤醒
article/‘a:tikl/ n.条款;物品
artificial/a:ti’fil/ a.人工的;娇揉造作的
artistic/a:’tistik/ a.艺术的;艺术家的
ash// n.灰，灰末;骨灰
ashamed/’eimd/ a.惭愧(的);羞耻(的)
aspect/‘spekt/ n.方面;样子，外表
assemble/’sembl/ vt.集合，召集;装配
assembly/’sembli/ n.集合;集会;装配
associate/’suieit/ vi.交往n.伙伴，同事
association/susi’ein/ n.协会，团体;联合
assume/’sju:m/ vt.假定;承担;呈现
assure/’u/ vt.使确信;向…保证
astonish/s’tni/ vt.使惊讶，使吃惊
astronaut/‘stun:t/ n.宇宙航行员，宇航员
atlantic/t’lntik/ a.大西洋的n.大西洋
atom/‘tm/ n.原子;微粒;微量
atomic/’tmik/ a.原子的;原子能的
attach/’tt/ vt.缚，系，贴;附加
attain/’tein/ vt.达到，获得，完成
attempt/’tempt/ vt.尝试，试图n.企图
attend/’tend/ vt.出席;照顾，护理
attribute/‘tribju:t/ vt.把…归因于n.属性
audience/‘:djns/ n.听众，观众，读者
authority/:’θriti/ n.当局，官方;权力
automatic/:t’mtik/ a.自动的;机械的
automobile/‘:tmbi:l/ n.汽车，机动车
auxiliary/:g’ziljri/ a.辅助的;附属的
available/’veilbl/ a.可利用的;通用的
avenue/‘vinju:/ n.林荫道，道路;大街
await/’weit/ vt.等候，期待
awake/’weik/ a.醒着的vt.唤醒
award/’w:d/ n.奖，奖品;判定
aware/’we/ a.知道的，意识到的
awful/‘:ful/ a.令人不愉快的
awkward/‘:kwd/ a.笨拙的;尴尬的
ax/ks/ n.斧子
baby/‘beibi/ n.婴儿;孩子气的人
back/bk/ ad.在后;回原处;回
background/‘bkgraund/ n.背景，后景，经历
backward/‘bkwd/ a.向后的;倒的ad.倒
bacteria/bk’tiri/ n.细菌
bad/bd/ a.坏的，恶的;严重的
badly/‘bdli/ ad.坏，差;严重地
bag/bg/ n.袋，包，钱包，背包
baggage/‘bgid/ n.行李
bake/beik/ vt.烤，烘，焙;烧硬
balance/‘blns/ vt.使平衡;称n.天平
ball/b:l/ n.球，球状物;舞会
balloon/b’lu:n/ n.气球，玩具气球
banana/b’na:n/ n.香蕉;芭蕉属植物
band/bnd/ n.乐队;带;波段
bang/b/ n.巨响，枪声;猛击
bank/bk/ n.银行;库;岩，堤
bar/ba:/ n.酒吧间;条，杆;栅
barber/‘ba:b/ n.理发师
bare/be/ a.赤裸的;仅仅的
bargain/‘ba:gin/ n.交易vi.议价;成交
barrel/‘brl/ n.桶;圆筒;枪管
barrier/‘bri/ n.栅栏，屏障;障碍
base/beis/ n.基础，底层;基地
basic/‘beisik/ a.基本的，基础的
basically/‘beisikli/ ad.基本上
basin/‘beisn/ n.盆，洗脸盆;盆地
basis/‘beisis/ n.基础，根据
basket/‘ba:skit/ n.篮，篓，筐
basketball/‘ba:skitb:l/ n.篮球;篮球运动
bath/ba:θ/ n.浴，洗澡;浴缸
bathe/bei/ vt.给…洗澡;弄湿
bathroom/‘ba:θrum/ n.浴室;盥洗室
battery/‘btri/ n.电池;一套，一组
battle/‘btl/ n.战役;斗争vi.作战
bay/bei/ n.湾;山脉中的凹处
be/bi:/ aux.v.&vi.是，在，做
beach/bi:t/ n.海滩，湖滩，河滩
beam/bi:m/ n.梁;横梁;束，柱
bean/bi:n/ n.豆，蚕豆
bear/be/ n.熊;粗鲁的人
bear/be/ vt.容忍;负担;生育
beard/bid/ n.胡须，络腮胡子
beast/bi:st/ n.兽，野兽;牲畜
beat/bi:t/ vt.&vi.打，敲;打败
beautiful/‘bju:tiful/ a.美的，美丽的
beauty/‘bju:ti/ n.美，美丽;美人
because/bi’kz/ conj.由于，因为
become/bi’kΛm/ vi.变成;成为，变得
bed/bed/ n.床，床位;圃;河床
bee/bi:/ n.蜂，密蜂;忙碌的人
beef/bi:f/ n.牛肉;菜牛
beer/bi/ n.啤酒
before/bi’f:/ prep.在…以前;向…
beg/beg/ vt.&vi.乞求;请求
begin/bi’gin/ vi.开始vt.开始
beginning/bi’gini/ n.开始，开端;起源
behalf/bi’ha:f/ n.利益，维护，支持
behave/bi’heiv/ vi.表现，举止;运转
behavior/bi’heivj/ n.行为，举止，态度
behind/bi’haind/ prep.在…后面
being/‘bi:i/ n.存在;生物;生命
belief/bi’li:f/ n.信任，相信;信念
believe/bi’li:v/ vt.相信;认为
bell/bel/ n.钟，铃，门铃;钟声
belong/bi’l/ vi.属于，附属
below/bi’lu/ prep.在…下面(以下)
belt/belt/ n.带，腰带;皮带;区
bench/bent/ n.长凳，条凳;工作台
bend/bend/ vt.使弯曲vi.弯曲
beneath/bi’ni:θ/ prep.在…下方
beneficial/beni’fil/ a.有利的，有益的
benefit/‘benifit/ n.利益;恩惠;津贴
beside/bi’said/ prep.在…旁边
besides/bi’saidz/ ad.而且prep.除…之外
best/best/ a.最好的;最大的
bet/bet/ vt.&vi.&n.打赌
better/‘bet/ a.较好的ad.更好地
between/bi’twi:n/ prep.在…中间
beyond/bi’jnd/ prep.在…的那边
Bible/‘baibl/ n.《圣经》
bicycle/‘baisikl/ n.自行车，脚踏车
big/big/ a.大的，巨大的
bike/baik/ n.自行车vi.骑自行车
bill/bil/ n.账单;招贴;票据
billion/‘biljn/ num.万亿(英)
bind/baind/ vt.捆绑;包扎;装钉
biology/bai’ldi/ n.生物学;生态学
bird/b:d/ n.鸟，禽
birth/b:θ/ n.分娩，出生;出身
birthday/‘b:θdi/ n.生日，诞生的日期
biscuit/‘biskit/ n.(英)饼干;(美)软饼
bit/bit/ n.一点，一些，小片
bite/bait/ vt.咬，叮，螫;剌穿
bitter/‘bit/ a.痛苦的;严寒的
black/blk/ a.黑色的;黑暗的
blackboard/‘blkb:d/ n.黑板
blade/bleid/ n.刀刃，刀片;叶片
blame/bleim/ vt.责备，把…归咎于
blank/blk/ a.空白的n.空白
blanket/‘blkit/ n.毛毯，毯子，羊毛毯
blast/bla:st/ n.爆炸，冲击波vt.炸
bleed/bli:d/ vi.出血，流血;泌脂
blend/blend/ vt.&vi.&n.混和
blind/blaind/ a.瞎的;盲目的
block/blk/ n.街区vt.堵塞，拦阻
blood/blΛd/ n.血，血液;血统
bloom/blu:m/ n.花;开花，开花期
blow/blu/ vi.吹，吹动;吹响
blue/blu:/ a.蓝色的n.蓝色
board/b:d/ n.板vt.上(船、车等)
boast/bust/ vi.自夸vt.吹嘘
boat/but/ n.小船，艇;渔船
body/‘bdi/ n.身体;主体;尸体
bil/bil/ vi.沸腾;汽化vt.煮沸
bold/buld/ a.大胆的;冒失的
bolt/bult/ n.螺栓;插销vt.闩门
bomb/bm/ n.炸弹vt.轰炸
bond/bnd/ n.联结，联系;公债
bone/bun/ n.骨，骨骼
book/buk/ n.书，书籍vt.预定
boot/bu:t/ n.靴子，长统靴
border/‘b:d/ n.边，边缘;边界
bore/b:/ vt.使厌烦;钻，挖
born/b:n/ a.天生的;出生的
borrow/‘bru/ vt.借，借用，借人
boss/bs/ n.老板，上司vt.指挥
both/buθ/ pron.两者(都)
bother/‘b/ vt.烦扰，迷惑n.麻烦
bottle/‘btl/ n.瓶，酒瓶;一瓶
bottom/‘btm/ n.底，底部，根基
bounce/bauns/ vi.反跳，弹起;跳起
bound/baund/ a.一定的;有义务的
boundary/‘baundri/ n.分界线，办界
bow/bau/ n.弓;蝴蝶结;鞠躬
bowl/bul/ n.碗，钵;碗状物
box/bks/ n.箱，盒;包箱
box/bks/ vi.拳击，打拳
boy/bi/ n.男孩，少年;家伙
brain/brein/ n.脑，脑髓;脑力
brake/breik/ n.闸，刹车vi.制动
branch/bra:nt/ n.树枝;分部;分科
brand/brnd/ n.商品;烙印vt.铭刻
brass/bra:s/ n.黄铜;黄铜器
brave/breiv/ a.勇敢的，华丽的
bread/bred/ n.面包;食物，粮食
breadth/bred/ n.宽度，幅度;幅面
break/breik/ vt.打破;损坏;破坏
breakfast/‘brekfst/ n.早饭，早餐
breast/brest/ n.乳房;胸脯，胸膛
breath/breθ/ n.气息，呼吸;气味
breathe/bri:/ vi.呼吸vt.呼吸
breed/bri:d/ n.品种vt.使繁殖
breeze/bri:z/ n.微风，和风
brick/brik/ n.砖，砖块;砖状物
bride/braid/ n.新娘
bridge/brid/ n.桥，桥梁;桥牌
brief/bri:f/ a.简短的;短暂的
bright/brait/ a.明亮的;聪明的
brilliant/‘briljnt/ a.光辉的;卓越的
bring/bri/ vt.带来;引出;促使
British/‘briti/ a.不列颠的，英联邦的
broad/br:d/ a.宽的，阔的;广泛的
broadcast/‘br:dka:st/ n.广播，播音
brother/‘brΛ/ n.兄弟;同事，同胞
brow/brau/ n.额;眉，眉毛
brown/braun/ n.褐色，棕色
brush/brΛ/ n.刷子，毛刷;画笔
bubble/‘bΛbl/ n.泡vi.冒泡，沸腾
bucket/‘bΛkit/ n.水桶;吊桶;铲斗
build/bild/ vt.建筑;建立;创立
building/‘bildi/ n.建筑物，大楼;建筑
bulb/bΛlb/ n.电灯泡;球状物
bulk/bΛlk/ n.物体，容积，大批
bullet/‘bulit/ n.枪弹，子弹，弹丸
bundle/‘bΛndl/ n.捆，包，束;包袱
burden/‘b:dn/ n.担子，重担;装载量
bureau/‘bjuru/ n.局，司，处;社，所
burn/b:n/ vi.烧，燃烧n.烧伤
burst/b:st/ vt.使爆裂vi.&n.爆炸
bury/‘beri/ vt.埋葬，葬;埋藏
bus/bΛs/ n.公共汽车
bush/bu/ n.灌木，灌木丛，矮树
business/‘biznis/ n.商业，生意;事务
busy/‘bizi/ a.忙的，繁忙的
but/bΛt/ conj.但是，可是
butter/‘bΛt/ n.黄油;奶油
button/‘bΛtn/ n.扣子;按钮vt.扣紧
buy/bai/ vt.买，购买vi.买
by/bai/ prep.在…旁;被，由
cabbage/‘kbid/ n.洋白菜，卷心菜
cabin/‘kbin/ n.小屋;船舱，机舱
cabinet/‘kbinit/ n.橱，柜;内阁
cable/‘keibl/ n.缆，索;电缆;电报
cafe/‘kfei,k’fei/ n.咖啡馆;小餐厅
cage/keid/ n.笼;鸟笼，囚笼
cake/keik/ n.饼，糕，蛋糕
calculate/‘klkjuleit/ vt.计算;估计;计划
calculator/‘klkjuleit/ n.计算器，计算者
calendar/‘klind/ n.日历，历书;历法
call/k:l/ vt.把…叫做;叫，喊
calm/ka:m/ a.静的，平静的
camel/‘kml/ n.骆驼
camera/‘kmr/ n.照相机，摄影机
camp/kmp/ n.野营，营地，兵营
campaign/km’pein/ n.战役;运动
campus/‘kmps/ n.校园，学校场地
can/kn/ aux.v.能，会，可能
can/kn/ n.罐头，听头;容器
Canadian/k’neidjn/ a.加拿大的
canal/k’nl/ n.运河;沟渠;管
cancel/‘knsl/ vt.取消，撤消;删去
cancer/‘kns/ n.癌，癌症，肿瘤
candidate/‘kndidit/ n.候选人;投考者
candle/‘kndl/ n.蜡烛;烛形物;烛光
cap/kp/ n.帽子，便帽;帽状物
capable/‘keipbl/ a.有能力的，有才能的
capacity/k’psiti/ n.容量;能力;能量
capital/‘kpitl/ n.资本，资金;首都
captain/‘kptin/ n.陆军上尉;队长
capture/‘kpt/ vt.捕获，俘获;夺得
car/ka:/ n.汽车，小汽车，轿车
carbon/‘ka:bn/ n.碳
card/ka:d/ n.卡，卡片，名片
care/ke/ vi.关心，介意n.小心
career/k’ri/ n.生涯，职业，经历
careful/‘keful/ a.仔细的;细致的
careless/‘kelis/ a.粗心的，漫不经心的
cargo/‘ka:gu/ n.船货，货物
carpenter/‘ka:pint/ n.木工，木匠
carpet/‘ka:pit/ n.地毯，毡毯，毛毯
carriage/‘krid/ n.客车厢;四轮马车
carrier/‘kri/ n.运输工具;运载工具
carry/‘kri/ vt.携带;运载;传送
cart/ka:t/ n.二轮运货马车
case/keis/ n.情况;事实;病例
case/keis/ n.箱(子)，盒(子)，套
cash/k/ n.现金，现款
cassette/ka:’set/ n.盒式录音带;盒子
cast/ka:st/ vt.投，扔，抛;浇铸
castle/‘ka:sl/ n.城堡;巨大建筑物
casual/‘kjul/ a.偶然的;随便的
cat/kt/ n.猫，猫科，猫皮
catalog/‘ktlg/ n.目录，目录册
catch/kt/ vt.捉住;赶上;领会
cattle/‘ktl/ n.牛;牲口，家畜
cause/k:z/ n.原因，理由;事业
cave/keiv/ n.山洞，洞穴，窑洞
cease/si:s/ vi.&vi.&n.停止，停息
ceiling/‘si:li/ n.天花板，顶蓬
celebrate/‘selibreit/ vt.庆祝;歌颂，赞美
cell/sel/ n.细胞;小房间
cement/si’ment/ n.水泥;胶泥vt.粘结
cent/sent/ n.分;分币;百
centimetre/‘sentimi:t/ n.公分，厘米
central/‘sentrl/ a.中心的;主要的
centre/‘sent/ n.中心;中枢vt.集中
century/‘senturi/ n.世纪，百年
ceremony/‘serimni/ n.典礼，仪式;礼节
certain/‘s:tn/ a.确实的;肯定的
certainly/‘s:tnli/ ad.一定，必定;当然
certificate/s’tifikit/ n.证书，证件，执照
chain/tein/ n.链，链条，项圈
chair/te/ n.椅子;主席
chairman/‘temn/ n.主席;议长，会长
chalk/t:k/ n.白垩;粉笔
challenge/‘tlnd/ n.挑战;要求，需要
chamber/‘teimb/ n.会议室;房间;腔
champion/‘tmpjn/ n.冠军，得胜者
chance/ta:ns/ n.机会，机遇;可能性
change/teind/ n.改变，变化;零钱
channel/‘tnl/ n.海峡;渠道;频道
chapter/‘tpt/ n.章，回，篇
character/‘krikt/ n.性格;特性;角色
characteristic/krikt’ristik/ a.特有的n.特性
charge/ta:d/ vt.索价;控告n.费用
chart/ta:t/ n.图，图表;海图
chase/teis/ n.追逐，追赶，追求
cheap/ti:p/ a.廉价的;劣质的
cheat/ti:t/ vt.骗取;哄vi.行骗
check/tek/ vt.检查;制止n.检查
cheek/ti:k/ n.面颊，脸蛋
cheer/ti/ vt.使振作;欢呼
cheerful/‘tiful/ a.快乐的，愉快的
cheese/ti:z/ n.乳酪，干酪
chemical/‘kemikl/ a.化学的n.化学制品
chemist/‘kemist/ n.化学家;药剂师
chemistry/‘kemistri/ n.化学
cheque/tek/ n.支票
chess/tes/ n.棋;国际象棋
chest/test/ n.胸腔，胸膛;箱子
chew/tu:/ vt.咀嚼，嚼碎
chicken/‘tikin/ n.小鸡，小鸟;鸡肉
chief/ti:f/ a.主要的;首席的
child/taild/ n.小孩，儿童;儿子
childhood/‘taildhud/ n.童年，幼年;早期
chill/til/ vt.使变冷n.寒冷
chimney/‘timni/ n.烟囱，烟筒;玻璃罩
chin/tin/ n.颏，下巴
China/‘tain/ n.中国
china/‘tain/ n.瓷器，瓷料
Chinese/‘tai’ni:z/ a.中国的n.中国人
chocolate/‘tklit/ n.巧克力;巧克力糖
chice/tis/ n.选择，抉择
choke/tuk/ vt.使窒息;塞满
choose/tu:z/ vt.选择，挑选;情愿
chop/tp/ vt.砍，劈;切细vi.砍
Christian/‘kristin/ n.信徒
Christmas/‘krisms/ n.圣诞节
church/t:t/ n.教堂，礼拜堂;教会
cigarette/sig’ret/ n.香烟，纸烟，卷烟
cinema/‘sinim/ n.电影院;电影，影片
circle/‘s:kl/ n.圆，圆周;圈子
circuit/‘s:kit/ n.电路;环行;巡行
circular/‘s:kjul/ a.圆的;循环的
circulate/‘s:kjuleit/ vt.使循环vi.循环
circumference/s’kΛmfrns/ n.圆周，周长，圆周线
circumstance/‘s:kmstns/ n.情况，条件;境遇
citizen/‘sitizn/ n.公民;市民，居民
city/‘siti/ n.城市，都市
civil/‘sivl/ a.公民的;文职的
civilization/sivilai’zein/ n.文明，文化;开化
civilize/‘sivilaiz/ vt.使文明;教育
claim/kleim/ vt.声称，主张;索取
clap/klp/ vi.拍手vt.拍，轻拍
clarify/‘klrifai/ vt.澄清，阐明
class/kla:s/ n.班，班级;阶级
classical/‘klsikl/ a.古典的;经典的
classification/klsifi’kein/ n.分类;分级;分类法
classify/‘klsifai/ vt.把…分类
classmate/‘kla:smeit/ n.同班同学
classroom/‘kla:srum/ n.教室，课堂
claw/kl:/ n.爪，脚爪，螯
clay/klei/ n.粘土，泥土;肉体
clean/kli:n/ a.清洁的;纯洁的
clear/kli/ a.清晰的vt.清除
clerk/kla:k,kl:k/ n.店员;办事员，职员
clever/‘klev/ a.聪明的;机敏的
cliff/klif/ n.悬崖，峭壁
climate/‘klaimit/ n.气候;风土，地带
climb/klaim/ vi.攀登，爬vt.爬
clock/klk/ n.钟，仪表
close/kluz,klus/ vt.关，闭;结束
cloth/kl:θ/ n.布;衣料;桌布
clothe/klu/ vt.给…穿衣服
clothes/kluz/ n.衣服，服装;被褥
clothing/‘klui/ n.衣服，被褥
cloud/klaud/ n.云;云状物;阴影
cloudy/klaudi/ a.多云的;云一般的
club/klΛb/ n.俱乐部，夜总会
clue/klu:/ n.线索，暗示，提示
clumsy/‘klΛmzi/ a.笨拙的;愚笨的
coach/kut/ n.长途公共汽车
coal/kul/ n.煤，煤块
coarse/k:s/ a.粗的，粗糙的
coast/kust/ n.海岸，海滨(地区)
coat/kut/ n.外套，上衣;表皮
cock/kk/ n.公鸡;雄禽;旋塞
code/kud/ n.准则;法典;代码
coffee/‘kfi/ n.咖啡，咖啡茶
cil/kil/ n.(一)卷;线圈vt.卷
cin/kin/ n.硬币;铸造(硬币)
cold/kuld/ a.冷的;冷淡的n.冷
collapse/k’lps/ vi.倒坍;崩溃，瓦解
collar/‘kl/ n.衣领，项圈
colleague/‘kli:g/ n.同事，同僚
collect/k’lekt/ vt.收集vi.收款
collection/k’lekn/ n.搜集，收集;收藏品
collective/k’lektiv/ a.集体的;集合性的
college/‘klid/ n.学院;大学
collision/k’li()n/ n.碰撞;冲突
colony/‘klni/ n.殖民地;侨居地
color/‘kΛl/ n.颜色，彩色;颜料
column/‘klm/ n.柱，支柱，圆柱
comb/kum/ n.梳子vt.梳理
combination/kmbi’nein/ n.结合，联合;化合
combine/km’bain/ vt.使结合;兼有
come/kΛm/ vi.来，来到;出现
comfort/‘kΛmft/ n.舒适;安慰vt.安慰
comfortable/‘kΛmftbl/ a.舒适的，安慰的
command/k’ma:nd/ vt.命令，指挥;控制
commander/k’ma:nd/ n.司令官，指挥员
comment/‘kment/ n.评论，意见;注释
commerce/‘km(:)s/ n.商业，贸易;社交
commercial/k’m:l/ a.商业的;商品化的
commission/k’min/ n.委任状;委员会
commit/k’mit/ vt.犯(错误);干(坏事)
committee/k’miti/ n.委员会;全体委员
common/‘kmn/ a.普通的;共同的
communicate/k’mju:nikeit/ vi.通讯;传达;传播
communication/k’mju:nikein/ n.通讯;传达;交通
communism/‘kmjunizm/ n.共产主义
communist/‘kmjunist/ n.共产党员
community/k’mju:niti/ n.社区;社会;公社
companion/km’pnin/ n.同伴;共事者;伴侣
company/‘kΛmpni/ n.公司，商号;同伴
comparative/km’prtiv/ a.比较的，相对的
compare/km’pe/ vt.比较，对照;比作
comparison/km’prisn/ n.比较，对照;比似
compass/‘kΛmps/ n.罗盘，指南针;圆规
compel/km’pel/ vt.强迫，迫使屈服
compete/km’pi:t/ vi.比赛;竞争;对抗
competent/‘kmpitnt/ a.有能力的;应该做的
competition/kmp’tin/ n.竞争，比赛
complain/km’plein/ vi.抱怨，拆苦;控告
complaint/km’pleint/ n.抱怨;怨言;控告
complete/km’pli:t/ a.完整的;完成的
complex/‘kmpleks/ a.结合的;复杂的
complicated/‘kmplikeitid/ a.复杂的，难懂的
component/km’punnt/ n.组成部分;分;组件
compose/km’puz/ vt.组成，构成;创作
composition/kmp’zin/ n.构成;作品;写作
compound/‘kmpaund,km’paund/ n.化合物;复合词
comprehension/kmpri’henn/ n.理解，理解力;领悟
comprehensive/kmpri’hensiv/ a.广泛的;理解的
compress/km’pres/ vt.压紧，压缩
comprise/km’praiz/ vt.包含，包括;构成
compromise/‘kmprmaiz/ n.妥协，和解
compute/km’pju:t/ vt.计算，估计，估算
computer/km’pju:t/ n.计算机，电脑
conceal/kn’si:l/ vt.把…隐藏起来
concentrate/‘knsntreit/ vt.集中;聚集;浓缩
concentration/knsn’trein/ n.集中;专注;浓缩
concept/‘knsept/ n.概念，观念，设想
concern/kn’s:n/ n.关心，挂念;关系
concerning/kn’s:ni/ prep.关于
concert/‘knst/ n.音乐会，演奏会
conclude/kn’klu:d/ vt.推断出;结束
conclusion/kn’klu:n/ n.结论，推论;结尾
concrete/‘knkri:t/ n.混凝土;具体物
condemn/kn’dem/ vt.谴责，指责;判刑
condense/kn’dens/ vt.压缩，使缩短
condition/kn’din/ n.状况，状态;环境
conduct/‘kndkt,kn’dΛkt/ n.举止，行为;指导
conductor/kn’dΛkt/ n.售票员;(乐队)指挥
conference/‘knfrns/ n.会议，讨论会
confess/kn’fes/ vt.供认，承认;坦白
confidence/‘knfidns/ n.信任;信赖;信心
confident/‘knfidnt/ n.确信的，自信的
confine/kn’fain/ vt.限制;禁闭
confirm/kn’f:m/ vt.证实，肯定;批准
conflict/‘knflikt,kn’flikt/ n.争论;冲突;斗争
confuse/kn’fju:z/ vt.使混乱，混淆
congratulate/kn’grtjuleit/ vt.祝贺，向…道喜
congress/‘kgres/ n.大会;国会，议会
conjunction/kn’dΛkn/ n.接合，连接;连接词
connect/k’nekt/ vt.连接，连结;联系
connection/k’nekn/ n.连接，联系;连贯性
conquer/‘kk/ vt.征服，战胜;破除
conquest/‘kkwest/ n.攻取，征服;克服
conscience/‘knns/ n.良心，道德心
conscious/‘kns/ a.意识到的;有意的
consciousness/‘knsnis/ n.意识，觉悟;知觉
consent/kn’sent/ n.同意，赞成vi.同意
consequence/‘knsikwns/ n.结果，后果
consequently/‘knsikwntli/ ad.因此，因而，所以
conservation/kns(:)’vein/ n.保存，保护;守恒
conservative/kn’s:vtiv/ a.保守的n.保守的人
consider/kn’sid/ vt.认为;考虑;关心
considerable/kn’sidrbl/ a.相当大的;重要的
considerate/kn’sidrit/ a.考虑周到的;体谅的
consideration/knsid’rein/ n.考虑，思考;体贴
consist/kn’sist/ vi.由…组成;在于
consistent/kn’sistnt/ a.坚持的，一贯的
constant/‘knstnt/ a.经常的;永恒的
constitute/‘knstitju:t/ vt.构成,组成,任命
constitution/knsti’tju:n/ n.章程;体质;构造
construct/kn’strΛkt/ vt.建造;建设;构筑
construction/kn’strΛkn/ n.建造;建筑;建筑物
consult/kn’sΛlt/ vt.请教，查阅
consume/kn’sju:m/ vt.消耗，消费;消灭
consumption/kn’sΛmpn/ n.消耗量;消耗
contact/‘kntkt,kn’tkt/ vt.使接触;与…联系
contain/kn’tein/ vt.包含，容纳;等于
container/kn’tein/ n.容器;集装箱
contemporary/kn’temprri/ a.当代的，同时代的
contempt/kn’tempt/ n.轻蔑;藐视;受辱
content/‘kntent,kn’tent/ n.内容，目录;容量
content/‘kntent,kn’tent/ a.满意的，满足的
contest/kn’test,‘kntest/ vt.争夺，争取;辩驳
continent/‘kntinnt/ n.大陆;陆地;洲
continual/kn’tinjul/ a.不断的;连续的
continue/kn’tinju(:)/ vt.继续，连续;延伸
continuous/kn’tinjus/ a.连续不断的，持续的
contract/‘kntrkt,kn’trkt/ n.契约，合同;婚约
contradiction/kntr’dikn/ n.矛盾，不一致;否认
contrary/‘kntrri/ a.相反的n.相反
contrast/‘kntrst,kn’trst/ n.对比，对照，悬殊
contribute/kn’tribju(:)t/ vt.捐献，捐助;投稿
control/kn’trul/ vt.控制，克制n.控制
convenience/kn’vi:njns/ n.便利，方便;厕所
convenient/kn’vi:njnt/ a.便利的;近便的
convention/kn’venn/ n.习俗，惯例;公约
conventional/kn’vennl/ a.普通的;习惯的
